table_schema,table_name,column_name,data_type,char_max_len,numeric_precision,numeric_scale,is_nullable,column_default,ordinal_position
public,de,id,bigint,,64,0,NO,nextval('de_id_seq'::regclass),1
public,de,itide,character varying,10,,,YES,,2
public,de,dfeemide,character varying,20,,,YES,,3
public,de,dest,character varying,10,,,YES,,4
public,de,dpunexp,character varying,10,,,YES,,5
public,de,dnumdoc,character varying,20,,,YES,,6
public,de,cdc,character varying,100,,,YES,,7
public,de,dserienum,character varying,10,,,YES,,8
public,de,estado,character varying,50,,,YES,,9
public,de,estado_sifen,character varying,50,,,YES,,10
public,de,desc_sifen,text,,,,YES,,11
public,de,error_sifen,text,,,,YES,,12
public,de,fch_sifen,character varying,20,,,YES,,13
public,de,estado_can,character varying,50,,,YES,,14
public,de,desc_can,text,,,,YES,,15
public,de,error_can,text,,,,YES,,16
public,de,fch_can,character varying,20,,,YES,,17
public,de,estado_inu,character varying,50,,,YES,,18
public,de,desc_inu,text,,,,YES,,19
public,de,error_inu,text,,,,YES,,20
public,de,fch_inu,character varying,20,,,YES,,21
public,de,itipemi,character varying,10,,,YES,,22
public,de,dnumtim,character varying,20,,,YES,,23
public,de,dfeinit,character varying,20,,,YES,,24
public,de,itiptra,character varying,10,,,YES,,25
public,de,itimp,character varying,10,,,YES,,26
public,de,cmoneope,character varying,10,,,YES,,27
public,de,dticam,character varying,20,,,YES,,28
public,de,dinfofisc,text,,,,YES,,29
public,de,drucem,character varying,20,,,YES,,30
public,de,ddvemi,character varying,10,,,YES,,31
public,de,itipcont,character varying,10,,,YES,,32
public,de,dnomemi,text,,,,YES,,33
public,de,ddiremi,text,,,,YES,,34
public,de,dnumcas,character varying,10,,,YES,,35
public,de,cdepemi,character varying,10,,,YES,,36
public,de,ddesdepemi,character varying,50,,,YES,,37
public,de,cciuemi,character varying,10,,,YES,,38
public,de,ddesciuemi,character varying,50,,,YES,,39
public,de,dtelemi,character varying,50,,,YES,,40
public,de,demaile,character varying,200,,,YES,,41
public,de,inatrec,character varying,10,,,YES,,42
public,de,itiope,character varying,10,,,YES,,43
public,de,cpaisrec,character varying,10,,,YES,,44
public,de,iticontrec,character varying,10,,,YES,,45
public,de,drucrec,character varying,20,,,YES,,46
public,de,ddvrec,character varying,10,,,YES,,47
public,de,itipidrec,character varying,10,,,YES,,48
public,de,ddtipidrec,character varying,100,,,YES,,49
public,de,dnumidrec,character varying,50,,,YES,,50
public,de,dnomrec,text,,,,YES,,51
public,de,demailrec,character varying,200,,,YES,,52
public,de,ddirrec,character varying,20,,,YES,,53
public,de,dnumcasrec,character varying,10,,,YES,,54
public,de,cdeprec,character varying,10,,,YES,,55
public,de,ddesdeprec,character varying,50,,,YES,,56
public,de,cciurec,character varying,10,,,YES,,57
public,de,ddesciurec,character varying,50,,,YES,,58
public,de,inatven,character varying,10,,,YES,,59
public,de,itipidven,character varying,10,,,YES,,60
public,de,dnumidven,character varying,50,,,YES,,61
public,de,dnomven,character varying,100,,,YES,,62
public,de,ddirven,text,,,,YES,,63
public,de,dnumcasven,character varying,10,,,YES,,64
public,de,cdepven,character varying,10,,,YES,,65
public,de,ddesdepven,character varying,50,,,YES,,66
public,de,cciuven,character varying,10,,,YES,,67
public,de,ddesciuven,character varying,50,,,YES,,68
public,de,ddirprov,text,,,,YES,,69
public,de,cdepprov,character varying,10,,,YES,,70
public,de,ddesdepprov,character varying,50,,,YES,,71
public,de,cciuprov,character varying,10,,,YES,,72
public,de,ddesciuprov,character varying,50,,,YES,,73
public,de,imotemi,character varying,10,,,YES,,74
