table_schema,table_name,constraint_name,constraint_type,definition
public,de,de_pkey,PRIMARY KEY,PRIMARY KEY (id)
public,de_file,de_file_de_id_fkey,FOREIGN KEY,FOREIGN KEY (de_id) REFERENCES de(id)
public,de_file,de_file_pkey,PRIMARY KEY,PRIMARY KEY (id)
public,esi,esi_pkey,PRIMARY KEY,PRIMARY KEY (id)
public,esi,esi_ruc_key,UNIQUE,UNIQUE (ruc)
public,gacteco,gacteco_de_id_fkey,FOREIGN KEY,FOREIGN KEY (de_id) REFERENCES de(id)
public,gacteco,gacteco_pkey,PRIMARY KEY,PRIMARY KEY (id)
public,gcamdeasoc,gcamdeasoc_de_id_fkey,FOREIGN KEY,FOREIGN KEY (de_id) REFERENCES de(id)
public,gcamdeasoc,gcamdeasoc_pkey,PRIMARY KEY,PRIMARY KEY (id)
public,gcamitem,gcamitem_de_id_fkey,FOREIGN KEY,FOREIGN KEY (de_id) REFERENCES de(id)
public,gcamitem,gcamitem_pkey,PRIMARY KEY,PRIMARY KEY (id)
public,gpaconeini,gpaconeini_de_id_fkey,FOREIGN KEY,FOREIGN KEY (de_id) REFERENCES de(id)
public,gpaconeini,gpaconeini_pkey,PRIMARY KEY,PRIMARY KEY (id)
